objectid,identifier,filename,title,description,creator,format,date,date-is-approximate?,subject,location,publisher-digital,source,rights,rightsstatement,type,language
Confluence52,"""For Permission To Publish, Please Contact Lewiston City Library: 208. 743-6519 Or Email: library@cityyoflewiston.org",Engstrom#6.jpg,Early Lewiston Buildings,On First Street beginning with the large building the Weisgerber Brewery and the next house south is the Corburn Building and the two-story building of this is where the Masonic Lodge is located upstairs 1878.,Unknown: Engstrom Studio?,Scanned On Canoscan 400F Scanner,,1878?,Lewiston Buildings,en-US,Lewiston City Library,Engstrom#6,,,Black & White Photography,"Engstrom Studio Photgraphy Collection, Lewiston City Library Spe, Coll."
Confluence53,"""For perission to publish, please contact Lewiston City Library: 208. 743-6519 or email: library@cityoflewiston.org",Engstrom #7.jpg,"Plat of the City of Lewiston,1874 Downtown Section 1874","Plat of the city of Lewiston Nez Perce County, Idaho from field notes of official survey of Aug 1874. Approved June 22nd 1875. Henry W. Stainton Mayor, Trustee.",,Scanned on Cano Scan 400F scanner @ 300 dpi,,1874,Early Lewiston Maps,,Lewiston City Library,Engstrom #7,en-US,,Plats,Engstrom Photo Studio
Confluence54,"""For permission to publish, please contact Lewiston City Library: 208.743-6519 or email: library@cityoflewiston.org",Engstrom #8.jpg,"Plat of the City of Lewiston, Hill Section 1874","Plat (south portion of) City of Lewiston, Nez Perce County, Idaho. Official Survey of Aug. 1874 E B True MA, Survey et. al. Approved June 22, 1875 Henry W. Stainton Mayor.","E. B. True; Approved Henry W. Station, Mayor",Scanned on Cano Scan 440F scanner @ 300dpi,,1874,Early Lewiston Maps,en-US,Lewiston City Library,Engstrom #8,,,Plats,"Engstrom Studio Photograph Collection,Lewiston City Library"
Confluence55,"""for permission to publish, please contact Lewiston City Library:208-.743-6519 or email: library@cityoflewiston.org",Engstrom #9.jpg,Lewiston Buildings,The Capital of Idaho Territory located on Third Street facing east and on the second block from C Street.,,Scanned on Cano Scan 440F scanner@300 dpi,,UnKnown; Circa 1863,First Territorial Capital Buildings in Lewiston,en-US,Lewiston City Library,Engstrom #9,,,Black & White Photograph,"Engstrom Photograph Collection, Lewis City Library Special Collection."
Confluence56,"""For permission to publish, contact Lewiston City Library:208.743-6519 or email: library@cityoflewistion.org",Engstrom#10.jpg,Early Lewiston Images,"Lewiston in ""Steamboat Days"". (ca.1900?)",,,,UnKnown; Engstrom Photo Studio,Lewiston Steamboat Days,en-US,Lewiston City Library,Engstrom#10,,,Blzck & White Photograph,Engstrom Photograph collection; Lewis City Library Special Collection
Confluence57,"""For permission to publish, please contact Lewiston City Library:208.-743-6519",Engstrom #11.jpg,Booth Flour Mill,One of the first grain mills in town- located on First Street south of Masonic Hall.,UnKnown; Engstrom Photo Studio,scanned on canoscan 400F scanner@dpi,,UnKnown; circa 1863,First Grain Mill,en-US,Lewiston City Library,Engstrom #11,,,Black & White Photograph,Engstrom Photograph Collection; Lewis City Library special collections.
Confluence58,"""For permission to publish, please contact Lewiston City Library:208.743-6519 or email library@cityoflewiston.org",Engstrom #12.jpg,Sketch Of Idaho and its Counties,Sketch of Idaho and its counties.,UnKnown;Engstrom Photo Studio,Sanned on canoscan 400F scanner,,UnKnown; circa 1863,Early Lewiston Maps,en-US,Lewiston City Library,Engstrom #12,,,Black & White Photograph,Engstrom Photography Collection; Lewis Cityu Library Special Collection
Confluence59,"""For permission to publish, please contact Lewiston City Library:208-743-6519 or email: library@cityoflewston.org",Engstrom #14.jpg,Lewistons First School,First Lewiston School building on the corner of Third and C Street facing north.,UnKnown; Engstrom Photo Studio,scanned on collection; Lewis City Library special collections.,,UnKnown; circa 1876,Early Lewiston School,en-US,Lewiston City Library,Engstrom #14,,,Black & White Photograph,
Confluence60,"""for permission to publish, please contact Lewiston City Library: 208-743-6519 or email: library@cityoflewiston.org",Engstrom #15.jpg,Early Lewiston Buildings,Courthouse was located on the alley in Newell Addition facing west on the present site of the Lewis-Clark Hotel.,UnKnown; Engstrom Photo studio,scanned on canoscan 400F scanner dpi,,UnKnown; circa 1863,Nez Perce's First Courthouse,en-US,Lewiston City Library,Engstrom #15,,,Black and White Photograph,Engstrom Photograph Collection; Lewis City Library special collection
Confluence61,"""For permission to publish, please contact Lewiston City Library:208.743-6519 or email: library@cityoflewiston.org",Engstrom #16.jpg,Early Lewiston Buildings: Luna House,"Luna House, Lewiston early-day hotel located on second lot east of Third Street facing north.",UnKnown; Engsrom Photo Studio,scanned on canoscram 400F scanner dpi,,UnKnown; circa 1863,Early Lewiston Hotel,en-US,Lewiston City Library,Engstrom #16,,,Black and White Photography,Engstrom Photograph Collection; Lewis City Library special collection
Confluence62,"""For permission to publish, please contact Lewiston City Library: 208.743-6519 or email: library@cityof lewiston.org",Engstrom#17.jpg,Plat of the City of Lewiston,Plat of Lewiston.,UnKnown; Engstrom Studio,scanned on canoscan 400F scanner dpi,,UnKnown;Circa 1862,Plat of Lewiston,en-US,Lewiston City Library,Engstrom#17,,,Black and White Photograph,Engstrom Photograph Collection; Lewis City Library special collection
Confluence63,"""For permission to publish, please contact Lewiston City Library: 208. 743-6519 or e-mail: library@cityoflewiston.org""",p151201coll12_20_full.jpg,Early Lewiston Buildings: Clark Hall,Clark Hall. Located on the corner of Third and C Street facing north - now the north end of the Bollinger Hotel. (now gone),Engstrom Studio,Scanned on CanoScan 4400F at 300dpi,,1942?,Lewiston Buildings,en-US,Lewiston City Library,,,,TGM II,Lewiston City Library Special Collections
Confluence64,"""For permission to publish, please contact Lewiston City Library: 208. 743-6519 or email: library@cityoflewiston.org""",Engstrom #13.jpg,Catholic Church and School,The Catholic Church and school. Church was built in 1867 - location of present Hahn building.,Unknown,Scanned on CanoScan 4400F at 300dpi,Engstrom Studio,ca. 1900?,Early Lewiston Schools,en-US,Lewiston City Library,Engstrom #13,see also Lewiston Pictorial History/ Gene Mueller p.50,,Black and White Photograph,Lewiston City Library Special Collections
Confluence65,"""For permission to publish, please contact Lewiston City Library: 208. 743-6519 or email: library@cityoflewiston.org",Engstrom #18.jpg,Teachers and Children of an early Catholic School,Teachers and children of an early Catholic school.,Unknown,Scanned on CanoScan 4400F at 300dpi,Engstrom Studio,ca. 1900?,Early Lewiston Schools,en-US,Lewiston City Library,Engstrom #18,,,Black & White Photograph,Lewiston City Library Special Collections
